severity,candidate_index,candidate_id,lipid_name,fragment_nonzero_count,protected_fragment_channel,requested_dropout_rate,dropped_fragment_count,dropped_fragment_channels,achieved_dropout_rate,parent_multiplier,fragment_log_sigma,full_cosine_A_target_vs_A_solver,fragment_cosine_A_target_vs_A_solver,parent_cosine_A_target_vs_A_solver,source_column_l2,target_column_l2,latent_provenance,pre_dropout_log_distortion_sha256
MILD,5,PA-H__0117,PA 18:0_22:0,74,191,0.05,4,"[6, 136, 267, 504]",0.05405405405405406,1.0810835230746128,0.1,0.998807892477499,0.9986430814393283,0.9999999999999998,1.0000001192092896,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 10905881160954563542, ""fragment_intensity"": 11067219502743010324, ""parent"": 6081090362987117221}, ""u_sha256"": ""489327f00ad4cd5848d625c78f98dbb0215f0db734cc454cd65dd1d4333d0132"", ""v"": 0.8108352307461273, ""z_sha256"": ""2bb3c92f82a6a36d1c4d150c2959299dcb48b7354b6af8b98c104152dd196f7e""}",e0b27196dd54205b72cbe0f2247d05c89e8d9dd45624b436f47378993228b1b2
MODERATE,5,PA-H__0117,PA 18:0_22:0,74,191,0.1,6,"[6, 136, 260, 267, 504, 515]",0.08108108108108109,1.1621670461492255,0.2,0.9715103882442122,0.963510387538996,0.9999999999999996,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 10905881160954563542, ""fragment_intensity"": 11067219502743010324, ""parent"": 6081090362987117221}, ""u_sha256"": ""489327f00ad4cd5848d625c78f98dbb0215f0db734cc454cd65dd1d4333d0132"", ""v"": 0.8108352307461273, ""z_sha256"": ""2bb3c92f82a6a36d1c4d150c2959299dcb48b7354b6af8b98c104152dd196f7e""}",f9103ac406cbe191488ecb0fbe940de1d30834954b0aa09b23fe2c8dd143ec61
MILD,6,PA-H__0118,PA 18:0_22:1,75,126,0.05,4,"[191, 264, 265, 494]",0.05333333333333334,1.0958462868996877,0.1,0.9961926254883883,0.9955233253480219,0.9999999999999997,1.0000001192092896,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 13697323674231075297, ""fragment_intensity"": 3293509732361120454, ""parent"": 14578631902908667727}, ""u_sha256"": ""edf8065e3ce3271e0e0b389ef7ba583114f847cd5fe204ff41fab071f19a6e6c"", ""v"": 0.9584628689968762, ""z_sha256"": ""6e9fd8fd1426657f3a6e36205bb21bc01ff87a7c4f1d57375b7302b50e4e4253""}",b91b35fbb601153d81bee472756446cea5f392bdfdad32e8a5666669f9dbe31a
MODERATE,6,PA-H__0118,PA 18:0_22:1,75,126,0.1,11,"[3, 187, 190, 191, 264, 265, 268, 294, 306, 425, 494]",0.14666666666666667,1.1916925737993753,0.2,0.986587898498845,0.9839517663434473,1.0,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 13697323674231075297, ""fragment_intensity"": 3293509732361120454, ""parent"": 14578631902908667727}, ""u_sha256"": ""edf8065e3ce3271e0e0b389ef7ba583114f847cd5fe204ff41fab071f19a6e6c"", ""v"": 0.9584628689968762, ""z_sha256"": ""6e9fd8fd1426657f3a6e36205bb21bc01ff87a7c4f1d57375b7302b50e4e4253""}",9e6a5a70b6b03d5c2f5ecb6f8fbfe7b1f24c0f0cbfaf9d1ee69512712b2a4ed9
MILD,7,PA-H__0119,PA 18:0_22:2,75,126,0.05,4,"[131, 411, 499, 500]",0.05333333333333334,1.0858988020557565,0.1,0.9968532278979718,0.9980365033715985,0.9999999999999999,1.0000001192092896,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 11590840627036251008, ""fragment_intensity"": 14710647997890372080, ""parent"": 12929540718854734387}, ""u_sha256"": ""07cc6bdd818d6c04dfda94537ef6022a068b002d8f009b9e432a08eb0f68691c"", ""v"": 0.8589880205575651, ""z_sha256"": ""3c9e6345b3e118fd002e8e7e7b0f89c7b3845973d450c9c7d0785d58f6a0ee08""}",2c485b14d42b72fa084bff39501677e5423599e972d506c19f6626350b0c3f00
MODERATE,7,PA-H__0119,PA 18:0_22:2,75,126,0.1,12,"[129, 130, 131, 133, 186, 190, 408, 411, 491, 495, 499, 500]",0.16,1.171797604111513,0.2,0.9764811392850791,0.9793039520701808,0.9999999999999999,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 11590840627036251008, ""fragment_intensity"": 14710647997890372080, ""parent"": 12929540718854734387}, ""u_sha256"": ""07cc6bdd818d6c04dfda94537ef6022a068b002d8f009b9e432a08eb0f68691c"", ""v"": 0.8589880205575651, ""z_sha256"": ""3c9e6345b3e118fd002e8e7e7b0f89c7b3845973d450c9c7d0785d58f6a0ee08""}",137c3e227d5927b088fcec6c0fa263194abdb4f641bdd9dbacd77febb2170663
MILD,8,PA-H__0120,PA 18:0_22:3,78,126,0.05,7,"[7, 134, 402, 408, 410, 412, 413]",0.08974358974358974,0.9553638371424443,0.1,0.9983297217952791,0.9983328445421743,0.9999999999999998,1.0,1.0,"{""seeds"": {""fragment_dropout"": 5719772838366112023, ""fragment_intensity"": 953053296357092166, ""parent"": 7332292440681542664}, ""u_sha256"": ""1ac4ce1873fa239477e69a0ab30a56be350b2b0225070f1e319e0ae4899ae7ab"", ""v"": -0.4463616285755563, ""z_sha256"": ""4748bd58274ddf78e11d11619a5d59f0eed41b116c831291408b7bb42d333426""}",424ffd71f4b43dcfe9863787d1a4a41ea1ed59bf38ee2e3dddf9e4b06358e192
MODERATE,8,PA-H__0120,PA 18:0_22:3,78,126,0.1,9,"[7, 128, 134, 309, 402, 408, 410, 412, 413]",0.11538461538461539,0.9107276742848888,0.2,0.9935385016943403,0.9935934762214255,0.9999999999999998,1.0,1.0,"{""seeds"": {""fragment_dropout"": 5719772838366112023, ""fragment_intensity"": 953053296357092166, ""parent"": 7332292440681542664}, ""u_sha256"": ""1ac4ce1873fa239477e69a0ab30a56be350b2b0225070f1e319e0ae4899ae7ab"", ""v"": -0.4463616285755563, ""z_sha256"": ""4748bd58274ddf78e11d11619a5d59f0eed41b116c831291408b7bb42d333426""}",f4f808b52726de2268e074468da39f76914513c4a2dda567df9cec2dcc6c0fc6
MILD,9,PA-H__0121,PA 18:0_22:4,82,126,0.05,4,"[130, 294, 297, 482]",0.04878048780487805,0.9154060187908788,0.1,0.9947575576466361,0.9947797159075045,0.9999999999999999,0.9999999403953552,1.0,"{""seeds"": {""fragment_dropout"": 14181186867971595633, ""fragment_intensity"": 1016398996828508446, ""parent"": 7872797856268232370}, ""u_sha256"": ""58b21781827e860baf08af65eff5dedca352789736075f2a330cd1d5097d4d10"", ""v"": -0.8459398120912118, ""z_sha256"": ""f3ea840de2acb6e268702d7a7f9c3b7dce25a9b331fd736c1851949205134ae1""}",57dfd91dd16ac268a69289a57d6e3c930d833392c4f23f13c8b7541e6996dddc
MODERATE,9,PA-H__0121,PA 18:0_22:4,82,126,0.1,11,"[0, 2, 130, 136, 137, 184, 294, 297, 404, 473, 482]",0.13414634146341464,0.8308120375817576,0.2,0.9713831588920671,0.9714018353995442,0.9999999999999993,0.9999999403953552,1.0,"{""seeds"": {""fragment_dropout"": 14181186867971595633, ""fragment_intensity"": 1016398996828508446, ""parent"": 7872797856268232370}, ""u_sha256"": ""58b21781827e860baf08af65eff5dedca352789736075f2a330cd1d5097d4d10"", ""v"": -0.8459398120912118, ""z_sha256"": ""f3ea840de2acb6e268702d7a7f9c3b7dce25a9b331fd736c1851949205134ae1""}",39452fab31d17ab422d1f1b06583fe1dea75066423b9bafd35b6d2f380dc4285
MILD,10,PA-H__0122,PA 18:0_22:5,74,126,0.05,2,"[134, 268]",0.02702702702702703,0.9940118246890595,0.1,0.9981287695880267,0.9981226991442984,1.0,1.0,1.0,"{""seeds"": {""fragment_dropout"": 12081283432579180325, ""fragment_intensity"": 13379017873317603737, ""parent"": 9519378157863094860}, ""u_sha256"": ""7d4df902d59e98b6c066e87f8281d93c04461a9386ec9a342d4d4d880d60a580"", ""v"": -0.059881753109405134, ""z_sha256"": ""c419c1beb31d0ca9f9a12414f6675c88817955b8aa0e58000528574819b22d98""}",9f7ad5e14e1217d10ab1ebaef60ec1d0bbc7ab45ef48f2fe4ca061766ecbc4a6
MODERATE,10,PA-H__0122,PA 18:0_22:5,74,126,0.1,8,"[4, 134, 268, 311, 388, 457, 469, 473]",0.10810810810810811,0.9880236493781189,0.2,0.9922681524801008,0.9922412681144054,0.9999999999999999,1.0,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 12081283432579180325, ""fragment_intensity"": 13379017873317603737, ""parent"": 9519378157863094860}, ""u_sha256"": ""7d4df902d59e98b6c066e87f8281d93c04461a9386ec9a342d4d4d880d60a580"", ""v"": -0.059881753109405134, ""z_sha256"": ""c419c1beb31d0ca9f9a12414f6675c88817955b8aa0e58000528574819b22d98""}",e930a9a0bf114c0b798d3180d95290a579ebea35c33afeae09391a049fd3b643
MILD,11,PA-H__0124,PA 18:0_24:0,69,215,0.05,4,"[270, 294, 554, 609]",0.057971014492753624,1.0897825706276019,0.1,0.997321683484891,0.9967593175556417,1.0,1.0,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 17633961111852168655, ""fragment_intensity"": 4568131224471379951, ""parent"": 9602787392027027719}, ""u_sha256"": ""b44081c24801824e6a7121b22c40e2debed4ca20f50b523bacd02c7a4f0f4c41"", ""v"": 0.8978257062760195, ""z_sha256"": ""4c216df689e8d39c0946d98b8aea9b533b7c800ca7f2386f438b6510b892b0be""}",6c56a4ca8e7d7346c0e3225478604bcfcd88f95d8dbbfff5f768732cf58b1581
MODERATE,11,PA-H__0124,PA 18:0_24:0,69,215,0.1,7,"[129, 270, 294, 310, 554, 558, 609]",0.10144927536231885,1.179565141255204,0.2,0.9865509135112742,0.982898184952021,0.9999999999999998,1.0,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 17633961111852168655, ""fragment_intensity"": 4568131224471379951, ""parent"": 9602787392027027719}, ""u_sha256"": ""b44081c24801824e6a7121b22c40e2debed4ca20f50b523bacd02c7a4f0f4c41"", ""v"": 0.8978257062760195, ""z_sha256"": ""4c216df689e8d39c0946d98b8aea9b533b7c800ca7f2386f438b6510b892b0be""}",9c570f63ad6f66e1768cda81a2153f74efe02f39422d09058272a42ebe09848a
MILD,12,PA-H__0125,PA 18:0_24:1,67,126,0.05,4,"[6, 128, 217, 270]",0.05970149253731343,0.9947610905403682,0.1,0.9993135963946284,0.999274437345277,0.9999999999999999,1.0,1.0,"{""seeds"": {""fragment_dropout"": 52388109583978919, ""fragment_intensity"": 12211688427000568377, ""parent"": 1363775801099933648}, ""u_sha256"": ""b334a61fe1ca5530b9af1f77fd4ccbf00415ad6eceaef8ea03898f0d7a18e00f"", ""v"": -0.052389094596317465, ""z_sha256"": ""b4fd1a4b11c6aaecd16d917106516cf897a66a0bac660c19173ee18412c29cd9""}",564d17edf18e11b10b95f49c48085cbc8a896a5d5f7498c94009936d28218ce5
MODERATE,12,PA-H__0125,PA 18:0_24:1,67,126,0.1,8,"[6, 128, 132, 135, 217, 270, 293, 606]",0.11940298507462686,0.9895221810807365,0.2,0.9731701634842196,0.970136604623636,0.9999999999999999,1.0,1.0,"{""seeds"": {""fragment_dropout"": 52388109583978919, ""fragment_intensity"": 12211688427000568377, ""parent"": 1363775801099933648}, ""u_sha256"": ""b334a61fe1ca5530b9af1f77fd4ccbf00415ad6eceaef8ea03898f0d7a18e00f"", ""v"": -0.052389094596317465, ""z_sha256"": ""b4fd1a4b11c6aaecd16d917106516cf897a66a0bac660c19173ee18412c29cd9""}",876d29104876715a7eb1d2953d76493cda546dca1e83f3b93acfe0373ac2bb6f
MILD,13,PA-H__0128,PA 18:0_24:4,86,126,0.05,11,"[129, 169, 173, 206, 270, 271, 294, 311, 507, 578, 585]",0.12790697674418605,0.990018294336169,0.1,0.983999516150898,0.9838852231356687,0.9999999999999998,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 104404807284828616, ""fragment_intensity"": 7077402334894220280, ""parent"": 10058487446458384033}, ""u_sha256"": ""115442f173e1f288ba140bef171251b1ebdd6300a66dc5ee1e75d1fc8f434e6c"", ""v"": -0.09981705663831097, ""z_sha256"": ""138f0051d8a31ec30bf581ff0c89a035c00f5c1b9b8228741ab2e97e4128a304""}",618ed400b55858c17842ff994362376175e753d85de4a3e94ebcdeadebacd124
MODERATE,13,PA-H__0128,PA 18:0_24:4,86,126,0.1,12,"[129, 169, 173, 206, 259, 270, 271, 294, 311, 507, 578, 585]",0.13953488372093023,0.9800365886723378,0.2,0.9778731040159844,0.9777164728779094,0.9999999999999998,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 104404807284828616, ""fragment_intensity"": 7077402334894220280, ""parent"": 10058487446458384033}, ""u_sha256"": ""115442f173e1f288ba140bef171251b1ebdd6300a66dc5ee1e75d1fc8f434e6c"", ""v"": -0.09981705663831097, ""z_sha256"": ""138f0051d8a31ec30bf581ff0c89a035c00f5c1b9b8228741ab2e97e4128a304""}",ed9917c503f9dcdc062341c440c84a5458b9f636a04cb96eee8e91ef46143ddc
MILD,14,PA-H__0129,PA 18:0_24:5,80,126,0.05,2,"[166, 203]",0.025,1.0214886921199517,0.1,0.9991364095401516,0.9991488355936905,0.9999999999999998,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 3515044005019130848, ""fragment_intensity"": 17845121043014300876, ""parent"": 542259550433132600}, ""u_sha256"": ""33e96e921e18311788953cb41468be4e5f29330bbcde910e196309bd61761ae5"", ""v"": 0.21488692119951702, ""z_sha256"": ""b42389b2bbcee7e8d662d9b9497033fe5cf032e7fca4d1c76271388b36e73ce3""}",4ebee7932a8ddabb5915eab9bd5d60c437c1d8dce2e0555523e2b0ea04c2284e
MODERATE,14,PA-H__0129,PA 18:0_24:5,80,126,0.1,5,"[130, 166, 168, 170, 203]",0.0625,1.0429773842399035,0.2,0.99633661943073,0.9963863603932601,0.9999999999999994,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 3515044005019130848, ""fragment_intensity"": 17845121043014300876, ""parent"": 542259550433132600}, ""u_sha256"": ""33e96e921e18311788953cb41468be4e5f29330bbcde910e196309bd61761ae5"", ""v"": 0.21488692119951702, ""z_sha256"": ""b42389b2bbcee7e8d662d9b9497033fe5cf032e7fca4d1c76271388b36e73ce3""}",654f2b4cb0e79fcfd17fb1a8632340f9a55be651c5bb17d6f1eadc7cfca00773
MILD,15,PA-H__0130,PA 18:0_24:6,82,126,0.05,4,"[162, 197, 498, 580]",0.04878048780487805,0.9002752123182574,0.1,0.9953578182038599,0.995354226914485,1.0,1.0,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 16065790681910690371, ""fragment_intensity"": 1845285640181477178, ""parent"": 960653356218844318}, ""u_sha256"": ""b1d8ce270dbdeaa2013821ac8e9f5250e044f296b4d9a0f2ff8cfe7996297da3"", ""v"": -0.997247876817426, ""z_sha256"": ""3a01404b841152fb6afe87569be97d88cad4b21adf0d1084d24b74f1e1c09dfd""}",0f5d5d177ef5dab27039a4643f3c85c68217f2c4360f973fcaac04aaebfb7cab
MODERATE,15,PA-H__0130,PA 18:0_24:6,82,126,0.1,8,"[162, 166, 197, 297, 300, 498, 562, 580]",0.0975609756097561,0.8005504246365148,0.2,0.9842398645041943,0.9842407204056368,1.0,1.0,1.0,"{""seeds"": {""fragment_dropout"": 16065790681910690371, ""fragment_intensity"": 1845285640181477178, ""parent"": 960653356218844318}, ""u_sha256"": ""b1d8ce270dbdeaa2013821ac8e9f5250e044f296b4d9a0f2ff8cfe7996297da3"", ""v"": -0.997247876817426, ""z_sha256"": ""3a01404b841152fb6afe87569be97d88cad4b21adf0d1084d24b74f1e1c09dfd""}",aad97279e7eac7990e7d4f3d7706946d0260c9a63cf07840814b6e958c72d44d
MILD,16,PA-H__0140,PA 22:0_18:1,73,191,0.05,7,"[6, 120, 123, 129, 294, 516, 517]",0.0958904109589041,0.911824818056441,0.1,0.9877936055432929,0.9870674011241362,1.0,1.0,1.0000001192092896,"{""seeds"": {""fragment_dropout"": 574059409157247967, ""fragment_intensity"": 16942395306734609818, ""parent"": 16803262677207179574}, ""u_sha256"": ""ba14fbe37c04d885997c1259eb13ca56f76b7a00033aa06f7d367c6030c15de3"", ""v"": -0.8817518194355896, ""z_sha256"": ""1011f68291cdb349743d413b1ff7daea8de2162a3ee0c7ba28aefaf01a7c38e0""}",e065f77aac9db7342d105de8571f9f9bc507277d6a9cff3220bc6ac39e223ec3
MODERATE,16,PA-H__0140,PA 22:0_18:1,73,191,0.1,12,"[6, 120, 123, 129, 193, 294, 437, 438, 504, 516, 517, 518]",0.1643835616438356,0.8236496361128821,0.2,0.975261259109646,0.9759769086445993,0.9999999999999999,1.0,1.0,"{""seeds"": {""fragment_dropout"": 574059409157247967, ""fragment_intensity"": 16942395306734609818, ""parent"": 16803262677207179574}, ""u_sha256"": ""ba14fbe37c04d885997c1259eb13ca56f76b7a00033aa06f7d367c6030c15de3"", ""v"": -0.8817518194355896, ""z_sha256"": ""1011f68291cdb349743d413b1ff7daea8de2162a3ee0c7ba28aefaf01a7c38e0""}",87d0b08de17e250b5010ef5fe2ba4f91db38480e2f5d332fbe51ed9851dd048d
MILD,17,PA-H__0141,PA 18:1_22:1,74,188,0.05,4,"[119, 130, 294, 494]",0.05405405405405406,0.978300437786443,0.1,0.9995871120129513,0.9987664966958744,0.9999999999999997,1.0,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 8991541273882196322, ""fragment_intensity"": 12708417289479608771, ""parent"": 7730858016570346014}, ""u_sha256"": ""1bee407302e415f036ad1edb3d30ca640764534681fee7bde25bae0222280fff"", ""v"": -0.21699562213556933, ""z_sha256"": ""efada19ffbf84f635c3c73b0a580121957951295700cc0837215630514b406c4""}",b58f56526b52ef13e1693eaf725f881963a8cb0ba7fd0d4d5a0d73ce5aba9f86
MODERATE,17,PA-H__0141,PA 18:1_22:1,74,188,0.1,8,"[5, 6, 119, 130, 131, 261, 294, 494]",0.10810810810810811,0.9566008755728861,0.2,0.9980941888787611,0.9942183169771834,1.0,1.0,0.9999999403953552,"{""seeds"": {""fragment_dropout"": 8991541273882196322, ""fragment_intensity"": 12708417289479608771, ""parent"": 7730858016570346014}, ""u_sha256"": ""1bee407302e415f036ad1edb3d30ca640764534681fee7bde25bae0222280fff"", ""v"": -0.21699562213556933, ""z_sha256"": ""efada19ffbf84f635c3c73b0a580121957951295700cc0837215630514b406c4""}",3445ac4cbffa64019a1d0c41d42ad398af76cafcc0e799a9da5a783153b3a05e
MILD,18,PA-H__0142,PA 18:1_22:2,74,185,0.05,4,"[264, 409, 411, 491]",0.05405405405405406,1.0659887607746386,0.1,0.9843309340045313,0.9832216921033372,1.0,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 6567859180343736913, ""fragment_intensity"": 5886579882201976512, ""parent"": 10256684785258098910}, ""u_sha256"": ""00a27a6a7707d1efd9ec5d2127fdae737ba4b59253bf018bf0a45cb55128d85e"", ""v"": 0.6598876077463862, ""z_sha256"": ""80ff3f6fedcae84cba5e51154b63eb97c861c8970fb84df2bfa2d6e0cb4624c5""}",abf74191547c7b983d3c8a6c657b16c3caabd5df8723654c80e76d77d4e7ac7b
MODERATE,18,PA-H__0142,PA 18:1_22:2,74,185,0.1,10,"[128, 256, 260, 261, 264, 293, 409, 411, 491, 498]",0.13513513513513514,1.1319775215492773,0.2,0.9445251957547488,0.934225781416636,0.9999999999999998,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 6567859180343736913, ""fragment_intensity"": 5886579882201976512, ""parent"": 10256684785258098910}, ""u_sha256"": ""00a27a6a7707d1efd9ec5d2127fdae737ba4b59253bf018bf0a45cb55128d85e"", ""v"": 0.6598876077463862, ""z_sha256"": ""80ff3f6fedcae84cba5e51154b63eb97c861c8970fb84df2bfa2d6e0cb4624c5""}",37fbc34d0541cf16187c4ea79fcf8a853a7ba5e49b845167cc270ddeb86fb4af
MILD,19,PA-H__0143,PA 18:1_22:3,77,182,0.05,3,"[1, 294, 483]",0.03896103896103896,1.0767208850075676,0.1,0.9973111277628967,0.9978608763218687,0.9999999999999998,1.0000001192092896,1.0,"{""seeds"": {""fragment_dropout"": 10624554413901316801, ""fragment_intensity"": 12149135911691443616, ""parent"": 16820070044889454978}, ""u_sha256"": ""fe6596ffd4dd3080ab708b5a10089feba140d61aec5c721835c2be4ae28976a8"", ""v"": 0.7672088500756751, ""z_sha256"": ""0ccb789cd3841167fec3471af42cc4a1ffc3f07d5292b695ddbcc0be6dab25e2""}",b55c101b01a741899dd2456fefa591606d6fafc35566d37ccc1aafe62ec38974
